uesi_id,city,year,pm25_mean,who_year,who_val,term,estimate,std.error,statistic,p.value,trend
USA_R184985,"Tulsa, USA",2021,10.383333333333333,2005,Within WHO Interim Target 3 of 15µg/m^3,year,-0.15179177275847988,0.018228189552120272,-8.327309320789004,7.082383257121056e-11,"Tulsa, USA(<span style='color: green;'>&#x25B2;</span>)"
USA_R184985,"Tulsa, USA",2022,10.3,2021,Within WHO Interim Target 3 of 15µg/m^3,year,-0.15179177275847988,0.018228189552120272,-8.327309320789004,7.082383257121056e-11,"Tulsa, USA(<span style='color: green;'>&#x25B2;</span>)"
USA_R184985,"Tulsa, USA",2022,10.3,2005,Within WHO Interim Target 3 of 15µg/m^3,year,-0.15179177275847988,0.018228189552120272,-8.327309320789004,7.082383257121056e-11,"Tulsa, USA(<span style='color: green;'>&#x25B2;</span>)"
USA_R186579,"Portland, USA",2000,10.3,2021,Within WHO Interim Target 3 of 15µg/m^3,year,-0.08950867499007183,0.027226670965614843,-3.287536515320374,0.00199168703541436,"Portland, USA(<span style='color: green;'>&#x25B2;</span>)"
USA_R186579,"Portland, USA",2000,10.3,2005,Within WHO Interim Target 3 of 15µg/m^3,year,-0.08950867499007183,0.027226670965614843,-3.287536515320374,0.00199168703541436,"Portland, USA(<span style='color: green;'>&#x25B2;</span>)"
USA_R186579,"Portland, USA",2001,8.6,2021,Within WHO Interim Target 4 of 10µg/m^3,year,-0.08950867499007183,0.027226670965614843,-3.287536515320374,0.00199168703541436,"Portland, USA(<span style='color: green;'>&#x25B2;</span>)"
USA_R186579,"Portland, USA",2001,8.6,2005,Within Recommended Value of 10µg/m^3,year,-0.08950867499007183,0.027226670965614843,-3.287536515320374,0.00199168703541436,"Portland, USA(<span style='color: green;'>&#x25B2;</span>)"
USA_R186579,"Portland, USA",2002,9.3,2021,Within WHO Interim Target 4 of 10µg/m^3,year,-0.08950867499007183,0.027226670965614843,-3.287536515320374,0.00199168703541436,"Portland, USA(<span style='color: green;'>&#x25B2;</span>)"
USA_R186579,"Portland, USA",2002,9.3,2005,Within Recommended Value of 10µg/m^3,year,-0.08950867499007183,0.027226670965614843,-3.287536515320374,0.00199168703541436,"Portland, USA(<span style='color: green;'>&#x25B2;</span>)"
USA_R186579,"Portland, USA",2003,10.4,2021,Within WHO Interim Target 3 of 15µg/m^3,year,-0.08950867499007183,0.027226670965614843,-3.287536515320374,0.00199168703541436,"Portland, USA(<span style='color: green;'>&#x25B2;</span>)"
USA_R186579,"Portland, USA",2003,10.4,2005,Within WHO Interim Target 3 of 15µg/m^3,year,-0.08950867499007183,0.027226670965614843,-3.287536515320374,0.00199168703541436,"Portland, USA(<span style='color: green;'>&#x25B2;</span>)"
USA_R186579,"Portland, USA",2004,10.4,2021,Within WHO Interim Target 3 of 15µg/m^3,year,-0.08950867499007183,0.027226670965614843,-3.287536515320374,0.00199168703541436,"Portland, USA(<span style='color: green;'>&#x25B2;</span>)"
USA_R186579,"Portland, USA",2004,10.4,2005,Within WHO Interim Target 3 of 15µg/m^3,year,-0.08950867499007183,0.027226670965614843,-3.287536515320374,0.00199168703541436,"Portland, USA(<span style='color: green;'>&#x25B2;</span>)"
USA_R186579,"Portland, USA",2005,10.2,2021,Within WHO Interim Target 3 of 15µg/m^3,year,-0.08950867499007183,0.027226670965614843,-3.287536515320374,0.00199168703541436,"Portland, USA(<span style='color: green;'>&#x25B2;</span>)"
USA_R186579,"Portland, USA",2005,10.2,2005,Within WHO Interim Target 3 of 15µg/m^3,year,-0.08950867499007183,0.027226670965614843,-3.287536515320374,0.00199168703541436,"Portland, USA(<span style='color: green;'>&#x25B2;</span>)"
USA_R186579,"Portland, USA",2006,10.1,2021,Within WHO Interim Target 3 of 15µg/m^3,year,-0.08950867499007183,0.027226670965614843,-3.287536515320374,0.00199168703541436,"Portland, USA(<span style='color: green;'>&#x25B2;</span>)"
USA_R186579,"Portland, USA",2006,10.1,2005,Within WHO Interim Target 3 of 15µg/m^3,year,-0.08950867499007183,0.027226670965614843,-3.287536515320374,0.00199168703541436,"Portland, USA(<span style='color: green;'>&#x25B2;</span>)"
USA_R186579,"Portland, USA",2007,9.7,2021,Within WHO Interim Target 4 of 10µg/m^3,year,-0.08950867499007183,0.027226670965614843,-3.287536515320374,0.00199168703541436,"Portland, USA(<span style='color: green;'>&#x25B2;</span>)"
USA_R186579,"Portland, USA",2007,9.7,2005,Within Recommended Value of 10µg/m^3,year,-0.08950867499007183,0.027226670965614843,-3.287536515320374,0.00199168703541436,"Portland, USA(<span style='color: green;'>&#x25B2;</span>)"
USA_R186579,"Portland, USA",2008,10.3,2021,Within WHO Interim Target 3 of 15µg/m^3,year,-0.08950867499007183,0.027226670965614843,-3.287536515320374,0.00199168703541436,"Portland, USA(<span style='color: green;'>&#x25B2;</span>)"
USA_R186579,"Portland, USA",2008,10.3,2005,Within WHO Interim Target 3 of 15µg/m^3,year,-0.08950867499007183,0.027226670965614843,-3.287536515320374,0.00199168703541436,"Portland, USA(<span style='color: green;'>&#x25B2;</span>)"
USA_R186579,"Portland, USA",2009,9.5,2021,Within WHO Interim Target 4 of 10µg/m^3,year,-0.08950867499007183,0.027226670965614843,-3.287536515320374,0.00199168703541436,"Portland, USA(<span style='color: green;'>&#x25B2;</span>)"
USA_R186579,"Portland, USA",2009,9.5,2005,Within Recommended Value of 10µg/m^3,year,-0.08950867499007183,0.027226670965614843,-3.287536515320374,0.00199168703541436,"Portland, USA(<span style='color: green;'>&#x25B2;</span>)"
USA_R186579,"Portland, USA",2010,6.75,2021,Within WHO Interim Target 4 of 10µg/m^3,year,-0.08950867499007183,0.027226670965614843,-3.287536515320374,0.00199168703541436,"Portland, USA(<span style='color: green;'>&#x25B2;</span>)"
USA_R186579,"Portland, USA",2010,6.75,2005,Within Recommended Value of 10µg/m^3,year,-0.08950867499007183,0.027226670965614843,-3.287536515320374,0.00199168703541436,"Portland, USA(<span style='color: green;'>&#x25B2;</span>)"
USA_R186579,"Portland, USA",2011,8.95,2021,Within WHO Interim Target 4 of 10µg/m^3,year,-0.08950867499007183,0.027226670965614843,-3.287536515320374,0.00199168703541436,"Portland, USA(<span style='color: green;'>&#x25B2;</span>)"
USA_R186579,"Portland, USA",2011,8.95,2005,Within Recommended Value of 10µg/m^3,year,-0.08950867499007183,0.027226670965614843,-3.287536515320374,0.00199168703541436,"Portland, USA(<span style='color: green;'>&#x25B2;</span>)"
USA_R186579,"Portland, USA",2012,8,2021,Within WHO Interim Target 4 of 10µg/m^3,year,-0.08950867499007183,0.027226670965614843,-3.287536515320374,0.00199168703541436,"Portland, USA(<span style='color: green;'>&#x25B2;</span>)"
