uesi_id,city,date,pm25,pm10,o3,no2,so2,co,psi,WHO,Concentration,Anomaly
CHN_R912940,"Beijing, CHN",2024-04-20,68.125,45.375,41.6875,8.8125,1.1111111111111112,2.625,NA,Exceeding All Recommended Guidelines,59.4 ppm - 103.4 ppm,-0.5 - 0
CHN_R912940,"Beijing, CHN",2024-04-19,124,63.375,32.0625,10.9375,2.1875,4.6875,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-04-18,123.125,84.3125,77.5625,15.9375,1.3846153846153846,4.4375,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-04-17,62.625,86.25,74.1875,17.375,1.3333333333333333,3.1875,NA,Exceeding All Recommended Guidelines,59.4 ppm - 103.4 ppm,-0.5 - 0
CHN_R912940,"Beijing, CHN",2024-04-16,95.8125,54.9375,41.5,10.8125,1,1.375,NA,Exceeding All Recommended Guidelines,59.4 ppm - 103.4 ppm,0 - 0.5
CHN_R912940,"Beijing, CHN",2024-04-15,119.375,90.5625,34.125,5.75,1,2.625,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-04-14,142,56.125,25.4375,11.0625,1,4.6875,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-04-13,186.4375,70.125,54.5625,11.3125,1,4.9375,NA,Exceeding All Recommended Guidelines,>103.4 ppm,>2
CHN_R912940,"Beijing, CHN",2024-04-12,162.875,107.1875,51.875,20.5,1,7.3125,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-04-11,113.6875,79.0625,53.5625,18.5,1,5.5,NA,Exceeding All Recommended Guidelines,>103.4 ppm,0.5 - 2
CHN_R912940,"Beijing, CHN",2024-04-10,75.125,58,14.5625,20.125,1,4.4375,NA,Exceeding All Recommended Guidelines,59.4 ppm - 103.4 ppm,-0.5 - 0
CHN_R912940,"Beijing, CHN",2024-04-09,88.0625,57.0625,34.6875,9.8125,1.2,3.0625,NA,Exceeding All Recommended Guidelines,59.4 ppm - 103.4 ppm,0 - 0.5
