uesi_id,city,date,pm25,pm10,o3,no2,so2,co,psi
CHN_R912940,"Beijing, CHN",01/05/2018,56.13333333333333,48.93333333333333,15.5625,24.333333333333332,4.4,9.125,NA
CHN_R912940,"Beijing, CHN",01/05/2019,65.3125,30.875,19,16.5,3.4375,4.5,NA
CHN_R912940,"Beijing, CHN",01/05/2020,119,62.1875,6.6875,29.4375,3.466666666666667,12.125,NA
CHN_R912940,"Beijing, CHN",01/05/2021,55.875,28.25,20.6875,9.625,1.4,2.3125,NA
CHN_R912940,"Beijing, CHN",01/05/2022,97.6875,59.75,8.125,24.1875,1.2,8.8125,NA
CHN_R912940,"Beijing, CHN",01/05/2023,111.625,80.375,8.125,28.5625,1.5333333333333334,7.75,NA
CHN_R912940,"Beijing, CHN",01/05/2024,107.375,41.125,19.5625,15.5625,1,3.5,NA
CHN_R912940,"Beijing, CHN",01/06/2014,155.4,94.8,4.142857142857143,32.06666666666667,25.866666666666667,27.466666666666665,NA
CHN_R912940,"Beijing, CHN",01/06/2015,155.125,42.5625,23.5,17.875,10.625,6.9375,NA
CHN_R912940,"Beijing, CHN",01/06/2016,82.4,40.2,22.533333333333335,15.933333333333334,5.666666666666667,10.333333333333334,NA
CHN_R912940,"Beijing, CHN",01/06/2017,273.875,128,9.533333333333333,47.1875,11.5,38.625,NA
CHN_R912940,"Beijing, CHN",01/06/2018,96.66666666666667,30.333333333333332,20.375,19.533333333333335,3,5.6875,NA
CHN_R912940,"Beijing, CHN",01/06/2019,58.875,69,6.25,30.6875,6.0625,11,NA
CHN_R912940,"Beijing, CHN",01/06/2020,149.75,54.25,15.75,21.25,1.6666666666666667,8.5,NA
CHN_R912940,"Beijing, CHN",01/06/2021,46.733333333333334,63.125,23.0625,3.8666666666666667,1,1.5,NA
CHN_R912940,"Beijing, CHN",01/06/2022,148.25,52.625,15.3125,23.1875,1.4166666666666667,8.25,NA
CHN_R912940,"Beijing, CHN",01/06/2023,158.8125,82.125,25.5,21.0625,1.2727272727272727,6.4375,NA
CHN_R912940,"Beijing, CHN",01/06/2024,69.0625,16.0625,21.0625,5.125,1,1.875,NA
CHN_R912940,"Beijing, CHN",01/07/2014,199.26666666666668,71.33333333333333,20.857142857142858,25.266666666666666,16.6,26,NA
CHN_R912940,"Beijing, CHN",01/07/2015,84.75,68.125,11.1875,30.1875,20.125,17,NA
CHN_R912940,"Beijing, CHN",01/07/2016,85.4,21.333333333333332,23,10.666666666666666,3.466666666666667,4.133333333333334,NA
CHN_R912940,"Beijing, CHN",01/07/2017,248.625,119,4.4,37.75,9.4375,30.25,NA
CHN_R912940,"Beijing, CHN",01/07/2018,61.86666666666667,50.46666666666667,23,21.933333333333334,5.466666666666667,8.4375,NA
CHN_R912940,"Beijing, CHN",01/07/2019,141.5,48.75,21,20.625,5.4375,8.4375,NA
CHN_R912940,"Beijing, CHN",01/07/2020,143.125,20.25,23.875,9.5,1.7857142857142858,2.75,NA
CHN_R912940,"Beijing, CHN",01/07/2021,45.666666666666664,28.25,23.875,4.4,1.1,2.1875,NA
CHN_R912940,"Beijing, CHN",01/07/2022,135.5625,69.5,5.1875,29.9375,1.2142857142857142,11.5,NA
CHN_R912940,"Beijing, CHN",01/07/2023,116.5,64.25,10.5625,19.8125,1.2,4.25,NA
CHN_R912940,"Beijing, CHN",01/07/2024,26.0625,24.125,16.5,10.5625,1,2.25,NA
CHN_R912940,"Beijing, CHN",01/08/2014,155,20.933333333333334,23.428571428571427,10.6,7.8,11,NA
CHN_R912940,"Beijing, CHN",01/08/2015,139.1875,102.6875,5.933333333333334,42.8125,25.1875,26.8125,NA
CHN_R912940,"Beijing, CHN",01/08/2016,47.86666666666667,36.2,21.333333333333332,17.066666666666666,6.266666666666667,8.066666666666666,NA
CHN_R912940,"Beijing, CHN",01/08/2017,228.9375,95.81818181818181,24.6,16,4.5625,10,NA
CHN_R912940,"Beijing, CHN",01/08/2018,108.8,47.53333333333333,27.1875,4.533333333333333,1.8,2.5,NA
CHN_R912940,"Beijing, CHN",01/08/2019,96.125,26,25.5625,11.25,1.8,3.4375,NA
CHN_R912940,"Beijing, CHN",01/08/2020,52.5625,24.25,25,12.75,1.5,3.8125,NA
CHN_R912940,"Beijing, CHN",01/08/2021,36.4,27.5625,24.4375,5.066666666666666,1,1.375,NA
CHN_R912940,"Beijing, CHN",01/08/2022,163.9375,47.0625,23.5625,20.5,1.1,7.875,NA
CHN_R912940,"Beijing, CHN",01/08/2023,69.0625,56.375,21.6875,15.5,1.5555555555555556,3.6875,NA
CHN_R912940,"Beijing, CHN",01/08/2024,50.8125,54.75,8.3125,22.9375,1.3333333333333333,4.9375,NA
CHN_R912940,"Beijing, CHN",01/09/2014,71.33333333333333,43.6,22.857142857142858,16.2,10.8,14.357142857142858,NA
CHN_R912940,"Beijing, CHN",01/09/2015,198.1875,56.9375,23.3125,27.3125,15.125,13.75,NA
CHN_R912940,"Beijing, CHN",01/09/2016,77.06666666666666,72.8,10.133333333333333,31.866666666666667,12,17.333333333333332,NA
CHN_R912940,"Beijing, CHN",01/09/2017,97.6875,53.06666666666667,33,15.9375,3,6.375,NA
CHN_R912940,"Beijing, CHN",01/09/2018,47.666666666666664,31.4,28.375,5.666666666666667,1.2307692307692308,2.75,NA
CHN_R912940,"Beijing, CHN",01/09/2019,39.5,50.875,11.375,25.375,5.8125,7.8125,NA
CHN_R912940,"Beijing, CHN",01/09/2020,57.375,36.0625,14.8125,22.3125,2.5714285714285716,7.3125,NA
CHN_R912940,"Beijing, CHN",01/09/2021,33.266666666666666,35.0625,26.75,6.5,1.0666666666666667,1.3125,NA
CHN_R912940,"Beijing, CHN",01/09/2022,119.9375,55,9,19.875,1.2857142857142858,7.9375,NA
CHN_R912940,"Beijing, CHN",01/09/2023,76.9375,33.625,21.5,12.125,1.4166666666666667,3.0625,NA
CHN_R912940,"Beijing, CHN",01/09/2024,116,43.875,20,17.125,1.5833333333333333,3.875,NA
CHN_R912940,"Beijing, CHN",01/10/2014,88.8,71.93333333333334,7.928571428571429,33,28.533333333333335,23.6,NA
CHN_R912940,"Beijing, CHN",01/10/2015,120.75,106.75,15,42.8125,26.0625,24.125,NA
CHN_R912940,"Beijing, CHN",01/10/2016,146.73333333333332,54.46666666666667,17.066666666666666,25.2,11.6,15.6,NA
CHN_R912940,"Beijing, CHN",01/10/2017,79.3125,33.625,24.933333333333334,14.8125,3.6875,5.733333333333333,NA
CHN_R912940,"Beijing, CHN",01/10/2018,29.733333333333334,20.4,28.8125,3.6666666666666665,1.1333333333333333,2.066666666666667,NA
CHN_R912940,"Beijing, CHN",01/10/2019,107,80.75,7.4375,34.25,7.9375,13.25,NA
CHN_R912940,"Beijing, CHN",01/10/2020,102.625,32.25,25.25,16.6875,2.533333333333333,6.0625,NA
CHN_R912940,"Beijing, CHN",01/10/2021,40.266666666666666,22.375,25.5,5.6875,1.0769230769230769,1.5625,NA
CHN_R912940,"Beijing, CHN",01/10/2022,118.875,25.4375,25.4375,9.6875,1,3.8125,NA
CHN_R912940,"Beijing, CHN",01/10/2023,52.125,57.0625,13.6875,22.375,1.5714285714285714,5.1875,NA
CHN_R912940,"Beijing, CHN",01/10/2024,90.9375,40.8125,15.375,19.9375,1,4.75,NA
CHN_R912940,"Beijing, CHN",01/11/2014,151,97.46666666666667,7.6923076923076925,43.2,39.46666666666667,31.357142857142858,NA
CHN_R912940,"Beijing, CHN",01/11/2015,207.4375,48.4375,19.8125,21.625,10.125,8.4375,NA
CHN_R912940,"Beijing, CHN",01/11/2016,127.73333333333333,22.266666666666666,24.866666666666667,9.666666666666666,2.8666666666666667,4.6,NA
CHN_R912940,"Beijing, CHN",01/11/2017,64.5625,61.2,14.666666666666666,33.625,11.25,14.1875,NA
CHN_R912940,"Beijing, CHN",01/11/2018,25.133333333333333,21.133333333333333,25.75,10.2,2.1333333333333333,4.0625,NA
CHN_R912940,"Beijing, CHN",01/11/2019,160.625,93.8125,7.875,36.875,8.375,16.125,NA
CHN_R912940,"Beijing, CHN",01/11/2020,87.375,19.625,22.1875,10.125,1.3571428571428572,2.5,NA
CHN_R912940,"Beijing, CHN",01/11/2021,32.333333333333336,53.75,24.25,9.4375,1.625,2.8125,NA
CHN_R912940,"Beijing, CHN",01/11/2022,61.375,23.375,16.125,12.0625,1,2.375,NA
CHN_R912940,"Beijing, CHN",01/11/2023,109.0625,71.625,4.9375,28,1.875,7.0625,NA
CHN_R912940,"Beijing, CHN",01/11/2024,84.75,71.1875,9.9375,28.8125,1.1818181818181819,7.875,NA
CHN_R912940,"Beijing, CHN",01/12/2014,199.26666666666668,34.93333333333333,24.785714285714285,18.066666666666666,14.066666666666666,14.733333333333333,NA
CHN_R912940,"Beijing, CHN",01/12/2015,93.125,96.1875,10.9375,35.3125,21.8125,20.375,NA
CHN_R912940,"Beijing, CHN",01/12/2016,45.86666666666667,27.066666666666666,24.2,11.533333333333333,3.8,5.5,NA
CHN_R912940,"Beijing, CHN",01/12/2017,134.875,51.5625,27.5,24.3125,8.9375,8,NA
CHN_R912940,"Beijing, CHN",01/12/2018,41.8,60,11.4375,32.333333333333336,6.266666666666667,11.5,NA
CHN_R912940,"Beijing, CHN",01/12/2019,186.5,148.3125,5.625,44.875,6.4375,22.75,NA
CHN_R912940,"Beijing, CHN",01/12/2020,43.875,28.125,22,15.933333333333334,2.875,4.0625,NA
CHN_R912940,"Beijing, CHN",01/12/2021,69.9375,99.25,9.75,22.9375,1.6875,6.25,NA
CHN_R912940,"Beijing, CHN",01/12/2022,43.8125,35.875,22.75,13.4375,1.25,3.4375,NA
CHN_R912940,"Beijing, CHN",01/12/2023,147.625,89.25,3.75,27.8125,1.8,7.5,NA
CHN_R912940,"Beijing, CHN",01/12/2024,139.625,85,7.4375,31.75,1.6428571428571428,10.875,NA
CHN_R912940,"Beijing, CHN",01/13/2014,81.53333333333333,82.06666666666666,8.071428571428571,36.86666666666667,35.333333333333336,26.333333333333332,NA
CHN_R912940,"Beijing, CHN",01/13/2015,190,112,6,43.0625,26.75,25.5,NA
